6.920491665158786665e-01,6.940184190663508668e-01,6.942951218030655181e-01,6.987405353278223208e-01,7.146461463834081762e-01
7.389538774902207896e-01,7.594761352764268780e-01,7.671687815180643355e-01,7.614322838361423651e-01,7.464851561916808764e-01
7.287004291590302163e-01,7.147428813985418072e-01,7.095165514743227986e-01,7.172756977573249149e-01,7.392667463699706953e-01
7.659956625418175014e-01,7.814766478810686312e-01,7.827695240408893973e-01,7.876297685983812968e-01,8.140953568066835455e-01
8.572739260870285705e-01,8.948645726131051470e-01,9.092464545177643132e-01,8.949524797762652417e-01,8.566947624974631248e-01
8.127232504206534092e-01,7.865379708876233389e-01,7.828424898421252331e-01,7.818390614660524207e-01,7.646000522318486814e-01
7.354731757973004269e-01,7.130902405575162417e-01,7.069058414197443296e-01,7.118419563599609479e-01,7.203759310514442626e-01
7.296357259982637622e-01,7.384486778640336757e-01,7.432163947843729579e-01,7.379613236378279595e-01,7.203769228672505243e-01
6.981647991285969690e-01,6.837630246305567150e-01,6.811182229596123294e-01,6.831275067663846734e-01,6.817603552208371109e-01
6.747846614633592477e-01,6.643587156560363249e-01,6.577383307139187396e-01,6.694636569462326658e-01,7.093106252133585254e-01
7.634225927103829301e-01,8.022594453464365616e-01,8.124732524837365855e-01,8.080461944448793510e-01,8.087426361330799507e-01
8.200702642914561302e-01,8.349578370256937054e-01,8.428765116155703119e-01,8.338720809203316042e-01,8.050238180733150228e-01
7.689479462763324502e-01,7.457830817601943663e-01,7.415020808285729403e-01,7.429181215509934599e-01,7.361677633550028910e-01
7.215404300683657679e-01,7.082942357386863286e-01,7.033256341057719796e-01,7.095685164604466078e-01,7.276409869310124234e-01
7.524475747419688831e-01,7.735505875747010762e-01,7.820167254313760141e-01,7.738308560829948446e-01,7.511869808041643504e-01
7.256095917331897294e-01,7.117192014743324302e-01,7.110401421275127642e-01,7.087520450801986227e-01,6.921075663483584606e-01
6.667529775173967055e-01,6.488159934989436994e-01,6.449078471127190904e-01,6.477499147037554250e-01,6.486007851192927554e-01
6.455545643211360041e-01,6.408861554549817319e-01,6.382459096996985215e-01,6.438053330983716238e-01,6.623741165219780846e-01
6.888855456958421497e-01,7.103039869488190217e-01,7.179706369699958568e-01,7.127789234243773198e-01,7.000132507896942302e-01
6.849457658655787595e-01,6.719847521608105501e-01,6.661832488821056719e-01,6.757234203607593859e-01,7.055001842862348438e-01
7.444655058501795653e-01,7.709887354229852940e-01,7.769305851207399805e-01,7.766519841067062169e-01,7.877151133155387841e-01
8.109016337605275959e-01,8.333025721069158287e-01,8.427179295561627592e-01,8.333366542220099760e-01,8.069888729317271636e-01
7.768558073470243075e-01,7.602011813296174481e-01,7.591050734385587084e-01,7.562725662914628888e-01,7.366763794031244705e-01
7.072323269969678083e-01,6.873670938225806548e-01,6.838599190182315102e-01,6.847261941590662149e-01,6.771089831130834291e-01
6.617970883721177033e-01,6.482031103269818573e-01,6.432406400850988470e-01,6.498398916580242490e-01,6.683875872950603148e-01
6.928360730484599550e-01,7.118026666021723958e-01,7.182931285111031627e-01,7.141714610309055633e-01,7.052352881284567054e-01
6.964596809032338465e-01,6.906845338664672207e-01,6.889390879749591745e-01,6.924956783729953047e-01,7.027296567491279067e-01
7.171283279953077905e-01,7.291344859292352432e-01,7.337965707005876803e-01,7.308830101416619041e-01,7.228890056537699005e-01
7.126890084136228154e-01,7.029066562074313129e-01,6.980088999444850062e-01,7.067080503028403404e-01,7.344782464294994373e-01
